Clusters	Supercluster	roi	regions	n_cells_cluster	n_cells_roi	n_cells_region
94	Deep-layer near-projecting	Human A13	Frontal_cortex	1	32634	310434
94	Deep-layer near-projecting	Human A44-A45	Frontal_cortex	3	35694	310434
94	Deep-layer near-projecting	Human CA2U-CA3U	Hippocampus	1	11268	237728
94	Deep-layer near-projecting	Human A46	Frontal_cortex	2	27923	310434
94	Deep-layer near-projecting	Human A32	Frontal_cortex	1	22757	310434
94	Deep-layer near-projecting	Human Pir	Paleocortex	2	32175	61436
95	Deep-layer near-projecting	Human FI	Frontal_cortex	112	32607	310434
95	Deep-layer near-projecting	Human AON	Paleocortex	163	29261	61436
95	Deep-layer near-projecting	Human CoA	Amygdala	9	8288	185429
95	Deep-layer near-projecting	Human A25	Frontal_cortex	349	35100	310434
95	Deep-layer near-projecting	Human A44-A45	Frontal_cortex	20	35694	310434
95	Deep-layer near-projecting	Human A13	Frontal_cortex	89	32634	310434
95	Deep-layer near-projecting	Human Pir	Paleocortex	15	32175	61436
95	Deep-layer near-projecting	Human ACC	Limbic_cortex	182	28494	125352
95	Deep-layer near-projecting	Human SEP	BasalForebrain	53	20447	186315
95	Deep-layer near-projecting	Human A46	Frontal_cortex	16	27923	310434
95	Deep-layer near-projecting	Human A14	Frontal_cortex	88	13473	310434
95	Deep-layer near-projecting	Human M1C	Frontal_cortex	41	110246	310434
95	Deep-layer near-projecting	Human A32	Frontal_cortex	56	22757	310434
95	Deep-layer near-projecting	Human SI	BasalForebrain	36	33357	186315
95	Deep-layer near-projecting	Human HTHso	Hypothalamus	43	9535	110066
95	Deep-layer near-projecting	Human Idg	Temporal_cortex	24	36450	403268
95	Deep-layer near-projecting	Human BNST	Amygdala	1	31259	185429
95	Deep-layer near-projecting	Human A43	Parietal_cortex	1	39028	143001
95	Deep-layer near-projecting	Human A23	Limbic_cortex	4	32979	125352
95	Deep-layer near-projecting	Human Cla	BasalForebrain	2	27853	186315
95	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	2	31649	125352
95	Deep-layer near-projecting	Human ITG	Temporal_cortex	1	26596	403268
96	Deep-layer near-projecting	Human A38	Temporal_cortex	120	34466	403268
96	Deep-layer near-projecting	Human TF	Temporal_cortex	16	29403	403268
96	Deep-layer near-projecting	Human Idg	Temporal_cortex	68	36450	403268
96	Deep-layer near-projecting	Human A1C	Temporal_cortex	9	30175	403268
96	Deep-layer near-projecting	Human A19	Occipital_cortex	8	26775	112307
96	Deep-layer near-projecting	Human MTG	Temporal_cortex	62	85093	403268
96	Deep-layer near-projecting	Human LEC	Temporal_cortex	38	29852	403268
96	Deep-layer near-projecting	Human ITG	Temporal_cortex	9	26596	403268
96	Deep-layer near-projecting	Human M1C	Frontal_cortex	16	110246	310434
96	Deep-layer near-projecting	Human A43	Parietal_cortex	20	39028	143001
96	Deep-layer near-projecting	Human A5-A7	Parietal_cortex	17	32527	143001
96	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	11	32230	125352
96	Deep-layer near-projecting	Human Cla	BasalForebrain	39	27853	186315
96	Deep-layer near-projecting	Human AON	Paleocortex	18	29261	61436
96	Deep-layer near-projecting	Human FI	Frontal_cortex	49	32607	310434
96	Deep-layer near-projecting	Human STG	Temporal_cortex	7	27340	403268
96	Deep-layer near-projecting	Human S1C	Parietal_cortex	8	35453	143001
96	Deep-layer near-projecting	Human Ig	Temporal_cortex	15	35308	403268
96	Deep-layer near-projecting	Human A40	Parietal_cortex	27	35993	143001
96	Deep-layer near-projecting	Human Pir	Paleocortex	36	32175	61436
96	Deep-layer near-projecting	Human La	Amygdala	5	24560	185429
96	Deep-layer near-projecting	Human CEN	Amygdala	27	30013	185429
96	Deep-layer near-projecting	Human A35-A36	Temporal_cortex	17	21708	403268
96	Deep-layer near-projecting	Human V2	Occipital_cortex	4	29649	112307
96	Deep-layer near-projecting	Human HTHso	Hypothalamus	3	9535	110066
96	Deep-layer near-projecting	Human BM	Amygdala	14	26270	185429
96	Deep-layer near-projecting	Human CA1R-CA2R-CA3R	Hippocampus	6	21695	237728
96	Deep-layer near-projecting	Human Pro	Occipital_cortex	2	25284	112307
96	Deep-layer near-projecting	Human Sub	Hippocampus	5	27772	237728
96	Deep-layer near-projecting	Human A25	Frontal_cortex	3	35100	310434
96	Deep-layer near-projecting	Human CoA	Amygdala	2	8288	185429
96	Deep-layer near-projecting	Human A23	Limbic_cortex	3	32979	125352
96	Deep-layer near-projecting	Human CA1U-CA2U-CA3U	Hippocampus	1	31168	237728
97	Deep-layer corticothalamic and 6b	Human CA1	Hippocampus	65	14677	237728
97	Deep-layer corticothalamic and 6b	Human Sub	Hippocampus	13	27772	237728
97	Deep-layer corticothalamic and 6b	Human MEC	Temporal_cortex	151	46874	403268
97	Deep-layer corticothalamic and 6b	Human CA1U-CA2U-CA3U	Hippocampus	40	31168	237728
97	Deep-layer corticothalamic and 6b	Human M1C	Frontal_cortex	1	110246	310434
97	Deep-layer corticothalamic and 6b	Human CA1-2R	Hippocampus	4	9696	237728
97	Deep-layer corticothalamic and 6b	Human SC	Midbrain	3	27156	127333
97	Deep-layer corticothalamic and 6b	Human CMN	Amygdala	5	34358	185429
97	Deep-layer corticothalamic and 6b	Human TH-TL	Limbic_cortex	4	32230	125352
97	Deep-layer corticothalamic and 6b	Human CEN	Amygdala	1	30013	185429
98	Deep-layer corticothalamic and 6b	Human FI	Frontal_cortex	401	32607	310434
98	Deep-layer corticothalamic and 6b	Human A5-A7	Parietal_cortex	80	32527	143001
98	Deep-layer corticothalamic and 6b	Human M1C	Frontal_cortex	292	110246	310434
98	Deep-layer corticothalamic and 6b	Human CEN	Amygdala	141	30013	185429
98	Deep-layer corticothalamic and 6b	Human Cla	BasalForebrain	267	27853	186315
98	Deep-layer corticothalamic and 6b	Human ACC	Limbic_cortex	224	28494	125352
98	Deep-layer corticothalamic and 6b	Human CMN	Amygdala	101	34358	185429
98	Deep-layer corticothalamic and 6b	Human A14	Frontal_cortex	57	13473	310434
98	Deep-layer corticothalamic and 6b	Human A44-A45	Frontal_cortex	92	35694	310434
98	Deep-layer corticothalamic and 6b	Human Ig	Temporal_cortex	109	35308	403268
98	Deep-layer corticothalamic and 6b	Human A46	Frontal_cortex	101	27923	310434
98	Deep-layer corticothalamic and 6b	Human MTG	Temporal_cortex	399	85093	403268
98	Deep-layer corticothalamic and 6b	Human Pir	Paleocortex	124	32175	61436
98	Deep-layer corticothalamic and 6b	Human A13	Frontal_cortex	132	32634	310434
98	Deep-layer corticothalamic and 6b	Human La	Amygdala	100	24560	185429
98	Deep-layer corticothalamic and 6b	Human LEC	Temporal_cortex	6	29852	403268
98	Deep-layer corticothalamic and 6b	Human Sub	Hippocampus	171	27772	237728
98	Deep-layer corticothalamic and 6b	Human A35-A36	Temporal_cortex	27	21708	403268
98	Deep-layer corticothalamic and 6b	Human A40	Parietal_cortex	67	35993	143001
98	Deep-layer corticothalamic and 6b	Human TH-TL	Limbic_cortex	85	32230	125352
98	Deep-layer corticothalamic and 6b	Human A43	Parietal_cortex	89	39028	143001
98	Deep-layer corticothalamic and 6b	Human CoA	Amygdala	15	8288	185429
98	Deep-layer corticothalamic and 6b	Human A38	Temporal_cortex	89	34466	403268
98	Deep-layer corticothalamic and 6b	Human Pu	BasalForebrain	6	30723	186315
98	Deep-layer corticothalamic and 6b	Human A25	Frontal_cortex	276	35100	310434
98	Deep-layer corticothalamic and 6b	Human BM	Amygdala	24	26270	185429
98	Deep-layer corticothalamic and 6b	Human Idg	Temporal_cortex	147	36450	403268
98	Deep-layer corticothalamic and 6b	Human A29-A30	Limbic_cortex	54	31649	125352
98	Deep-layer corticothalamic and 6b	Human A1C	Temporal_cortex	133	30175	403268
98	Deep-layer corticothalamic and 6b	Human TF	Temporal_cortex	69	29403	403268
98	Deep-layer corticothalamic and 6b	Human SEP	BasalForebrain	141	20447	186315
98	Deep-layer corticothalamic and 6b	Human MEC	Temporal_cortex	1	46874	403268
98	Deep-layer corticothalamic and 6b	Human S1C	Parietal_cortex	135	35453	143001
98	Deep-layer corticothalamic and 6b	Human ITG	Temporal_cortex	61	26596	403268
98	Deep-layer corticothalamic and 6b	Human Pro	Occipital_cortex	64	25284	112307
98	Deep-layer corticothalamic and 6b	Human V1C	Occipital_cortex	44	30599	112307
98	Deep-layer corticothalamic and 6b	Human SI	BasalForebrain	85	33357	186315
98	Deep-layer corticothalamic and 6b	Human CA1R-CA2R-CA3R	Hippocampus	74	21695	237728
98	Deep-layer corticothalamic and 6b	Human CA1C-CA3C	Hippocampus	15	32432	237728
98	Deep-layer corticothalamic and 6b	Human V2	Occipital_cortex	32	29649	112307
98	Deep-layer corticothalamic and 6b	Human STG	Temporal_cortex	74	27340	403268
98	Deep-layer corticothalamic and 6b	Human BNST	Amygdala	2	31259	185429
98	Deep-layer corticothalamic and 6b	Human NAC	BasalForebrain	11	27406	186315
98	Deep-layer corticothalamic and 6b	Human A23	Limbic_cortex	73	32979	125352
98	Deep-layer corticothalamic and 6b	Human CA2U-CA3U	Hippocampus	16	11268	237728
98	Deep-layer corticothalamic and 6b	Human AON	Paleocortex	127	29261	61436
98	Deep-layer corticothalamic and 6b	Human RN	Midbrain	2	1731	127333
98	Deep-layer corticothalamic and 6b	Human CA1-2R	Hippocampus	2	9696	237728
98	Deep-layer corticothalamic and 6b	Human HTHso	Hypothalamus	22	9535	110066
98	Deep-layer corticothalamic and 6b	Human A32	Frontal_cortex	18	22757	310434
98	Deep-layer corticothalamic and 6b	Human A19	Occipital_cortex	63	26775	112307
98	Deep-layer corticothalamic and 6b	Human BL	Amygdala	1	30681	185429
98	Deep-layer corticothalamic and 6b	Human SC	Midbrain	3	27156	127333
98	Deep-layer corticothalamic and 6b	Human CA1U-CA2U-CA3U	Hippocampus	4	31168	237728
98	Deep-layer corticothalamic and 6b	Human HTHpo	Hypothalamus	4	13248	110066
98	Deep-layer corticothalamic and 6b	Human IC	Midbrain	1	27978	127333
99	Deep-layer corticothalamic and 6b	Human AON	Paleocortex	69	29261	61436
99	Deep-layer corticothalamic and 6b	Human S1C	Parietal_cortex	133	35453	143001
99	Deep-layer corticothalamic and 6b	Human Sub	Hippocampus	118	27772	237728
99	Deep-layer corticothalamic and 6b	Human Cla	BasalForebrain	355	27853	186315
99	Deep-layer corticothalamic and 6b	Human A25	Frontal_cortex	237	35100	310434
99	Deep-layer corticothalamic and 6b	Human A1C	Temporal_cortex	104	30175	403268
99	Deep-layer corticothalamic and 6b	Human V1C	Occipital_cortex	55	30599	112307
99	Deep-layer corticothalamic and 6b	Human FI	Frontal_cortex	498	32607	310434
99	Deep-layer corticothalamic and 6b	Human Ig	Temporal_cortex	102	35308	403268
99	Deep-layer corticothalamic and 6b	Human A23	Limbic_cortex	101	32979	125352
99	Deep-layer corticothalamic and 6b	Human SEP	BasalForebrain	74	20447	186315
99	Deep-layer corticothalamic and 6b	Human A19	Occipital_cortex	62	26775	112307
99	Deep-layer corticothalamic and 6b	Human ACC	Limbic_cortex	455	28494	125352
99	Deep-layer corticothalamic and 6b	Human ITG	Temporal_cortex	34	26596	403268
99	Deep-layer corticothalamic and 6b	Human M1C	Frontal_cortex	200	110246	310434
99	Deep-layer corticothalamic and 6b	Human CEN	Amygdala	20	30013	185429
99	Deep-layer corticothalamic and 6b	Human Idg	Temporal_cortex	154	36450	403268
99	Deep-layer corticothalamic and 6b	Human A13	Frontal_cortex	153	32634	310434
99	Deep-layer corticothalamic and 6b	Human Pro	Occipital_cortex	64	25284	112307
99	Deep-layer corticothalamic and 6b	Human A46	Frontal_cortex	120	27923	310434
99	Deep-layer corticothalamic and 6b	Human A44-A45	Frontal_cortex	87	35694	310434
99	Deep-layer corticothalamic and 6b	Human MTG	Temporal_cortex	353	85093	403268
99	Deep-layer corticothalamic and 6b	Human A40	Parietal_cortex	36	35993	143001
99	Deep-layer corticothalamic and 6b	Human CA1R-CA2R-CA3R	Hippocampus	69	21695	237728
99	Deep-layer corticothalamic and 6b	Human A5-A7	Parietal_cortex	97	32527	143001
99	Deep-layer corticothalamic and 6b	Human CMN	Amygdala	43	34358	185429
99	Deep-layer corticothalamic and 6b	Human A32	Frontal_cortex	39	22757	310434
99	Deep-layer corticothalamic and 6b	Human V2	Occipital_cortex	25	29649	112307
99	Deep-layer corticothalamic and 6b	Human CA2U-CA3U	Hippocampus	30	11268	237728
99	Deep-layer corticothalamic and 6b	Human A43	Parietal_cortex	75	39028	143001
99	Deep-layer corticothalamic and 6b	Human A29-A30	Limbic_cortex	58	31649	125352
99	Deep-layer corticothalamic and 6b	Human A14	Frontal_cortex	53	13473	310434
99	Deep-layer corticothalamic and 6b	Human A38	Temporal_cortex	36	34466	403268
99	Deep-layer corticothalamic and 6b	Human TF	Temporal_cortex	34	29403	403268
99	Deep-layer corticothalamic and 6b	Human SI	BasalForebrain	32	33357	186315
99	Deep-layer corticothalamic and 6b	Human CA1U-CA2U-CA3U	Hippocampus	13	31168	237728
99	Deep-layer corticothalamic and 6b	Human BM	Amygdala	11	26270	185429
99	Deep-layer corticothalamic and 6b	Human STG	Temporal_cortex	43	27340	403268
99	Deep-layer corticothalamic and 6b	Human NAC	BasalForebrain	5	27406	186315
99	Deep-layer corticothalamic and 6b	Human TH-TL	Limbic_cortex	45	32230	125352
99	Deep-layer corticothalamic and 6b	Human CA1C-CA3C	Hippocampus	56	32432	237728
99	Deep-layer corticothalamic and 6b	Human Pu	BasalForebrain	29	30723	186315
99	Deep-layer corticothalamic and 6b	Human Pir	Paleocortex	12	32175	61436
99	Deep-layer corticothalamic and 6b	Human CoA	Amygdala	8	8288	185429
99	Deep-layer corticothalamic and 6b	Human HTHso	Hypothalamus	9	9535	110066
99	Deep-layer corticothalamic and 6b	Human A35-A36	Temporal_cortex	3	21708	403268
99	Deep-layer corticothalamic and 6b	Human La	Amygdala	6	24560	185429
99	Deep-layer corticothalamic and 6b	Human BNST	Amygdala	1	31259	185429
99	Deep-layer corticothalamic and 6b	Human HTHpo	Hypothalamus	3	13248	110066
99	Deep-layer corticothalamic and 6b	Human CA1-2R	Hippocampus	1	9696	237728
99	Deep-layer corticothalamic and 6b	Human RN	Midbrain	1	1731	127333
100	Deep-layer corticothalamic and 6b	Human CMN	Amygdala	450	34358	185429
100	Deep-layer corticothalamic and 6b	Human CEN	Amygdala	379	30013	185429
100	Deep-layer corticothalamic and 6b	Human LEC	Temporal_cortex	49	29852	403268
100	Deep-layer corticothalamic and 6b	Human V2	Occipital_cortex	30	29649	112307
100	Deep-layer corticothalamic and 6b	Human A19	Occipital_cortex	33	26775	112307
100	Deep-layer corticothalamic and 6b	Human M1C	Frontal_cortex	374	110246	310434
100	Deep-layer corticothalamic and 6b	Human A35-A36	Temporal_cortex	76	21708	403268
100	Deep-layer corticothalamic and 6b	Human MTG	Temporal_cortex	131	85093	403268
100	Deep-layer corticothalamic and 6b	Human AON	Paleocortex	469	29261	61436
100	Deep-layer corticothalamic and 6b	Human A23	Limbic_cortex	92	32979	125352
100	Deep-layer corticothalamic and 6b	Human Pro	Occipital_cortex	44	25284	112307
100	Deep-layer corticothalamic and 6b	Human STG	Temporal_cortex	30	27340	403268
100	Deep-layer corticothalamic and 6b	Human CoA	Amygdala	188	8288	185429
100	Deep-layer corticothalamic and 6b	Human La	Amygdala	266	24560	185429
100	Deep-layer corticothalamic and 6b	Human Ig	Temporal_cortex	76	35308	403268
100	Deep-layer corticothalamic and 6b	Human CA1R-CA2R-CA3R	Hippocampus	16	21695	237728
100	Deep-layer corticothalamic and 6b	Human ITG	Temporal_cortex	22	26596	403268
100	Deep-layer corticothalamic and 6b	Human TH-TL	Limbic_cortex	57	32230	125352
100	Deep-layer corticothalamic and 6b	Human Pir	Paleocortex	332	32175	61436
100	Deep-layer corticothalamic and 6b	Human HTHso	Hypothalamus	120	9535	110066
100	Deep-layer corticothalamic and 6b	Human A46	Frontal_cortex	25	27923	310434
100	Deep-layer corticothalamic and 6b	Human A40	Parietal_cortex	21	35993	143001
100	Deep-layer corticothalamic and 6b	Human CA1U-CA2U-CA3U	Hippocampus	7	31168	237728
100	Deep-layer corticothalamic and 6b	Human S1C	Parietal_cortex	86	35453	143001
100	Deep-layer corticothalamic and 6b	Human Idg	Temporal_cortex	73	36450	403268
100	Deep-layer corticothalamic and 6b	Human A1C	Temporal_cortex	59	30175	403268
100	Deep-layer corticothalamic and 6b	Human Cla	BasalForebrain	159	27853	186315
100	Deep-layer corticothalamic and 6b	Human FI	Frontal_cortex	336	32607	310434
100	Deep-layer corticothalamic and 6b	Human TF	Temporal_cortex	45	29403	403268
100	Deep-layer corticothalamic and 6b	Human Sub	Hippocampus	48	27772	237728
100	Deep-layer corticothalamic and 6b	Human Pu	BasalForebrain	53	30723	186315
100	Deep-layer corticothalamic and 6b	Human ACC	Limbic_cortex	208	28494	125352
100	Deep-layer corticothalamic and 6b	Human BL	Amygdala	29	30681	185429
100	Deep-layer corticothalamic and 6b	Human SI	BasalForebrain	22	33357	186315
100	Deep-layer corticothalamic and 6b	Human NAC	BasalForebrain	5	27406	186315
100	Deep-layer corticothalamic and 6b	Human SEP	BasalForebrain	49	20447	186315
100	Deep-layer corticothalamic and 6b	Human A25	Frontal_cortex	75	35100	310434
100	Deep-layer corticothalamic and 6b	Human A44-A45	Frontal_cortex	40	35694	310434
100	Deep-layer corticothalamic and 6b	Human V1C	Occipital_cortex	26	30599	112307
100	Deep-layer corticothalamic and 6b	Human A29-A30	Limbic_cortex	30	31649	125352
100	Deep-layer corticothalamic and 6b	Human A32	Frontal_cortex	11	22757	310434
100	Deep-layer corticothalamic and 6b	Human A43	Parietal_cortex	50	39028	143001
100	Deep-layer corticothalamic and 6b	Human A5-A7	Parietal_cortex	55	32527	143001
100	Deep-layer corticothalamic and 6b	Human A38	Temporal_cortex	51	34466	403268
100	Deep-layer corticothalamic and 6b	Human A13	Frontal_cortex	59	32634	310434
100	Deep-layer corticothalamic and 6b	Human A14	Frontal_cortex	19	13473	310434
100	Deep-layer corticothalamic and 6b	Human CA2U-CA3U	Hippocampus	6	11268	237728
100	Deep-layer corticothalamic and 6b	Human CA1-2R	Hippocampus	2	9696	237728
100	Deep-layer corticothalamic and 6b	Human BM	Amygdala	10	26270	185429
100	Deep-layer corticothalamic and 6b	Human MEC	Temporal_cortex	3	46874	403268
100	Deep-layer corticothalamic and 6b	Human CA1C-CA3C	Hippocampus	1	32432	237728
100	Deep-layer corticothalamic and 6b	Human BNST	Amygdala	3	31259	185429
101	Deep-layer corticothalamic and 6b	Human Sub	Hippocampus	523	27772	237728
101	Deep-layer corticothalamic and 6b	Human MEC	Temporal_cortex	1443	46874	403268
101	Deep-layer corticothalamic and 6b	Human LEC	Temporal_cortex	485	29852	403268
101	Deep-layer corticothalamic and 6b	Human BL	Amygdala	54	30681	185429
101	Deep-layer corticothalamic and 6b	Human CA1U-CA2U-CA3U	Hippocampus	313	31168	237728
101	Deep-layer corticothalamic and 6b	Human BM	Amygdala	60	26270	185429
101	Deep-layer corticothalamic and 6b	Human CA1	Hippocampus	40	14677	237728
